category,present,past,participle
1,be,was/were,been
1,beat,beat,beaten
1,become,became,become
1,begin,began,begun
1,bite,bit,bitten
1,blow,blew,blown
1,break,broke,broken
1,bring,brought,brought
1,build,built,built
1,burn,burnt/burned,burnt/burned
1,buy,bought,bought
1,can,could,could
1,catch,caught,caught
1,choose,chose,chosen
1,come,came,come
1,cost,cost,cost
1,cut,cut,cut
1,do,did,done
1,draw,drew,drawn
1,dream,dreamt/dreamed,dreamt/dreamed
1,drink,drank,drunk
1,drive,drove,driven
1,eat,ate,eaten
1,fall,fell,fallen
1,feed,fed,fed
1,feel,felt,felt
1,fight,fought,fought
1,find,found,found
1,fly,flew,flown
1,forget,forgot,forgotten
1,forgive,forgave,forgiven
1,freeze,froze,frozen
1,get,got,got/gotten
1,give,gave,given
1,go,went,gone
1,grow,grew,grown
1,hang,hung,hung
1,have,had,had
1,hear,heard,heard
1,hide,hid,hidden
1,hit,hit,hit
1,hold,held,held
1,hurt,hurt,hurt
1,keep,kept,kept
1,know,knew,known
1,lead,led,led
1,learn,learnt/learned,learnt/learned
1,leave,left,left
1,lend,lent,lent
1,let,let,let
1,lie,lay,lain
1,lose,lost,lost
1,make,made,made
1,meet,met,met
1,pay,paid,paid
1,put,put,put
1,read,read,read
1,ride,rode,ridden
1,ring,rang,rung
1,run,ran,run
1,say,said,said
1,see,saw,seen
1,sell,sold,sold
1,send,sent,sent
1,set,set,set
1,shake,shook,shaken
1,shine,shone,shone
1,show,showed,shown/showed
1,shut,shut,shut
1,sing,sang,sung
1,sit,sat,sat
1,sleep,slept,slept
1,speak,spoke,spoken
1,spell,spelt/spelled,spelt/spelled
1,spend,spent,spent
1,stand,stood,stood
1,steal,stole,stolen
1,swim,swam,swum
1,take,took,taken
1,teach,taught,taught
1,tell,told,told
1,think,thought,thought
1,throw,threw,thrown
1,understand,understood,understood
1,wake,woke,woken
1,wear,wore,worn
1,win,won,won
1,write,wrote,written
2,arise,arose,arisen
2,awake,awoke,awoken
2,bear,bore,borne/born
2,bend,bent,bent
2,bet,bet,bet
2,bind,bound,bound
2,bleed,bled,bled
2,breed,bred,bred
